0,8x8,"1.2 million, 8x8 has approximately 1.2 million global business users.",0.677372754,1.2 million,1200000, https://www.annualreports.com/Click/20276#:~:text=8x8%20has%20approximately%201.2%20million%20global%20business%20users.
1,aci worldwide,"nearly 4,000, With nearly 4,000 employees worldwide and offices in principal cities around the globe, ACI has built one of the most diverse and robust product portfolios in the industry, with application software spanning the entire electronic payments chain.",0.2909576,"4,000",4000, https://www.aciworldwide.com/about-aci/history#:~:text=With%20nearly%204%2C000%20employees%20worldwide,the%20entire%20electronic%20payments%20chain.
2,actua,"8 touches, How many touches does it take to make a sale? The simple answer is: more than most people think! According to our Top Performance in Sales Prospecting research, it takes an average of 8 touches to get an initial meeting (or other conversion) with a new prospect.",0.43810159,8,8, https://www.cmswire.com/customer-experience/what-do-customer-experience-teams-actually-look-like/
3,adexa,"40 million, According to reports, there are 40 million Alexa users in the US alone. With the increasing number of devices Alexa is compatible with and skills it can learn, it's expected that Amazon Alexa will have even more users in the future.",0.298175663,40 million,40000000, https://safeatlast.co/blog/amazon-alexa-statistics/#:~:text=According%20to%20reports%2C%20there%20are,more%20users%20in%20the%20future.
4,adobe,"12 million, Adobe Systems: Creative Cloud subscriptions 2013-2017 and 2024. This statistic shows the number of active subscriptions to Adobe's Creative Cloud service from 2013 to 2016, with forecasts for 2017 and 2024. As of 2017, Adobe was thought to have approximately 12 million creative cloud subscribers.",0.322481811,12 million,12000000, https://www.statista.com/statistics/497176/adobe-creative-cloud-subscriptions/#:~:text=Adobe%20Systems%3A%20Creative%20Cloud%20subscriptions%202013%2D2017%20and%202024&text=This%20statistic%20shows%20the%20number,12%20million%20creative%20cloud%20subscribers.
5,agilysys,"around 1,500 staff, Agilisys is an IT software and business services provider which has its headquarters in London, United Kingdom with a focus in local government and citizen-centric technology products. Employing around 1,500 staff, it provides customer services, ICT and consulting services.",0.48065114,"1,500",1500, https://www.agilysys.com/en/our-customers/
6,alarm.com,"holdings, revenue, Alarm.com reported revenues of $167.3 million and a user base of more than 2.3 million subscribers in 2014. In 2018, the company reported revenue of $291.1 million.",0.489986271,2.3 million,2300000, https://international.alarm.com/overview/#:~:text=Become%20a%20Service%20Provider,to%20be%20a%20technology%20leader.
7,altair,"engineering, more than 11,000, With more than 11,000 customers globally, Altair software enables customers to enhance product performance, compress development time and reduce costs.",0.484642059,"11,000",11000, https://www.altair.com/company/#:~:text=With%20more%20than%2011%2C000%20customers,development%20time%20and%20reduce%20costs.
8,alteryx,"7,689 customers, Ended the third quarter of 2021 with 7,689 customers, an 11% increase from the third quarter of 2020. Added 284 net new customers in the third quarter of 2021.",0.614382327,"7,689",7689, https://investor.alteryx.com/news-and-events/press-releases/press-release-details/2021/Alteryx-Announces-Third-Quarter-2021-Financial-Results/#:~:text=Ended%20the%20third%20quarter%20of,the%20third%20quarter%20of%202021.
9,american software -cl,"over 10,000, From core to cloud to edge, BMC delivers the software and services that enable over 10,000 global customers to thrive in their ongoing evolution to an Autonomous Digital Enterprise.",0.54691875,"over 10,000",10000, https://en.wikipedia.org/wiki/SAP
10,anaplan,"more than 1,700,  Based in San Francisco, Anaplan has over 175 partners and more than 1,700 customers worldwide. To learn more, visit anaplan.com.",0.550713539,"1,700",1700, https://www.anaplan.com/news/anaplan-announces-first-quarter-fiscal-year-2022-financial-results/#:~:text=About%20Anaplan&text=Based%20in%20San%20Francisco%2C%20Anaplan,more%2C%20visit%20anaplan.com.
